No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 227, 227);11.165739752143502;1.5098868000000003;0;0;2.516478;1.5098868000000003;8.649261752143502;0
2;Conv2d: 2-1;[1, 64, 113, 113];13.532048;8.173353853300137;0.22984200000000002;0.1920302533001381;13.302206;7.9813236;0;0
3;ReLU: 2-2;[1, 64, 113, 113];13.532048;8.173353853300137;0.22984200000000002;0.1920302533001381;13.302206;7.9813236;0;0
4;MaxPool2d: 2-3;[1, 64, 56, 56];3.49688;2.152253053300138;0.22984200000000002;0.1920302533001381;3.267038;1.9602228;0;0
5;Fire: 2-4;[1, 128, 56, 56];7.039856;4.3214399075256775;0.5058100000000001;0.4010123075256774;6.534046;3.9204276;0;0
6;Fire: 2-5;[1, 128, 56, 56];7.340912;4.562249977392964;0.8068660000000001;0.6418223773929647;6.534046;3.9204276;0;0
7;MaxPool2d: 2-6;[1, 128, 28, 28];7.980546104991436;1.6219427773929647;0.8068660000000001;0.6418223773929647;1.633534;0.9801204;5.540146104991436;0
8;Fire: 2-7;[1, 256, 28, 28];4.3498719999999995;2.783100149070989;1.082834;0.8228773490709891;3.267038;1.9602228;0;0
9;Fire: 2-8;[1, 256, 28, 28];4.650928;2.990567328675452;1.38389;1.0303445286754522;3.267038;1.9602228;0;0
10;MaxPool2d: 2-9;[1, 256, 14, 14];6.387840406322598;1.5204137286754522;1.38389;1.0303445286754522;0.816782;0.49006920000000004;4.1871684063225985;0
11;Fire: 2-10;[1, 384, 14, 14];6.059429520681977;1.8738012834129285;1.543826;1.1386440834129288;1.2252619999999999;0.7351571999999998;3.2903415206819773;0
12;Fire: 2-11;[1, 384, 14, 14];5.309506816212058;1.9902511985315652;1.7131699999999999;1.2550939985315652;1.2252619999999999;0.7351571999999998;2.371074816212058;0
13;Fire: 2-12;[1, 512, 14, 14];5.330993650922537;2.425189940143346;2.0016819999999997;1.4450695401433458;1.633534;0.9801204;1.6957776509225368;0
14;Fire: 2-13;[1, 512, 14, 14];4.752489044368386;2.624964771344619;2.3027379999999997;1.6448443713446192;1.633534;0.9801204;0.8162170443683863;0
15;Conv2d: 2-15;[1, 1000, 14, 14];6.277263999999999;4.107839738204118;3.0867379999999995;2.1935241382041175;3.1905259999999998;1.9143156;0;0
16;ReLU: 2-16;[1, 1000, 14, 14];6.277263999999999;4.107839738204118;3.0867379999999995;2.1935241382041175;3.1905259999999998;1.9143156;0;0
17;AdaptiveAvgPool2d: 2-17;[1, 1000, 1, 1];3.107387028976917;2.2033917382041177;3.0867379999999995;2.1935241382041175;0.016446000000000002;0.0098676;0.004203028976917267;0
