No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
1;Identity;(1, 3, 224, 224);0.26572;22.92223314215584;1.4701716;0;0;0;2.450286;1.4701716;20.47194714215584;0.0;0
2;BasicConv2d: 1-1;[1, 64, 112, 112];0;14.297166;8.418407320447528;1.229312;0;0.5776949204475289;13.067854;7.8407124;0;0;0
3;MaxPool2d: 1-2;[1, 64, 56, 56];0;4.49635;2.537917720447529;1.229312;0;0.5776949204475289;3.267038;1.9602228;0;0;0
4;BasicConv2d: 1-3;[1, 64, 56, 56];0;4.596702;2.6279345966900407;1.329664;0;0.6677117966900407;3.267038;1.9602228;0;0;0
5;BasicConv2d: 1-4;[1, 192, 56, 56];0;13.840014;8.395070471327042;4.039168;0;2.514562871327042;9.800846;5.8805076;0;0;0
6;MaxPool2d: 1-5;[1, 192, 28, 28];0.2494;24.730418659955355;3.984734471327042;4.039168;0;2.514562871327042;2.450286;1.4701716;18.240964659955353;0.0;0
7;Inception: 1-6;[1, 256, 28, 28];0;8.256414;5.123893294280506;4.989376;0;3.163670494280506;3.267038;1.9602228;0;0;0
8;Inception: 1-7;[1, 480, 28, 28];0;13.190974;8.217927132306581;7.065408000000001;0;4.54258753230658;6.125566;3.6753396;0;0;0
9;MaxPool2d: 1-8;[1, 480, 14, 14];0.24846;21.45732110392584;5.46149833230658;7.065408000000001;0;4.54258753230658;1.531518;0.9189108;12.860395103925839;0.0;0
10;Inception: 1-9;[1, 512, 14, 14];0.24664;19.61877270006375;5.911478128221572;7.685160000000001;0;4.931357728221572;1.633534;0.9801204;10.30007870006375;0.0;0
11;Inception: 1-10;[1, 512, 14, 14];0.25086;19.092404922136204;6.356833901573397;8.334312;0;5.376713501573398;1.633534;0.9801204;9.124558922136202;0.0;0
12;Inception: 1-11;[1, 512, 14, 14];0.25902;18.148232747927548;6.854050000863437;9.076760000000002;0;5.873929600863438;1.633534;0.9801204;7.4379387479275465;0.0;0
13;Inception: 1-12;[1, 528, 14, 14];0.26364;17.008342356088313;7.462336488363881;9.952488000000002;0;6.451611288363882;1.684542;1.0107252;5.3713123560883105;0.0;0
14;Inception: 1-13;[1, 832, 14, 14];0.26298;17.560231582046107;8.863925167010475;11.180232000000002;0;7.271209567010475;2.6545259999999997;1.5927155999999998;3.7254735820461065;0.0;0
15;MaxPool2d: 1-14;[1, 832, 7, 7];0.26298;15.273075680050777;7.669464367010475;11.180232000000002;0;7.271209567010475;0.6637580000000001;0.3982548;3.4290856800507754;0.0;0
16;Inception: 1-15;[1, 832, 7, 7];0.26286;13.991432160116167;7.944228113657079;11.554200000000002;0;7.545973313657079;0.6637580000000001;0.3982548;1.7734741601161659;0.0;0
17;Inception: 1-16;[1, 1024, 7, 7];0.2546;12.997425226212174;8.408030896236747;12.068896;0;7.9179616962367465;0.816782;0.49006920000000004;0.1117472262121737;0.0;0
18;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];0.2546;12.173160654124082;7.928059696236747;12.068896;0;7.9179616962367465;0.016829999999999998;0.010098;0.08743465412408113;0.0;0
19;Linear: 1-19;[1, 1000];0.2546;12.08796624000539;7.927829296236746;12.068896;0;7.9179616962367465;0.016446000000000002;0.0098676;0.002624240005388856;0.0;0
